TypeDescription,Manufacturer,Age,AssetCondition,Operations,MonthsToFailure
Physiologic Monitoring System,Koninklijke Philips N.V.,21,1,1,11.5
Infusion Pump,Nihon Kohden Corp,16,2,1,4.8
Radiographic System,Blease Medical Equipment Ltd,9,0,2,27.2
Sphygmomanometers,Blease Medical Equipment Ltd,19,2,1,7.1
Radiographic System,Drager Medical AG & Co KGaA,5,0,2,41.0
Sphygmomanometers,Siemens Healthineers,24,2,1,2.0
Ventilator,Canon Inc (Toshiba Medical),13,1,1,15.7
Radiographic System,Welch Allyn Inc,10,2,2,2.0
Ventilator,Canon Inc (Toshiba Medical),10,1,2,9.8
Physiologic Monitoring System,Physio-Control Inc,28,0,1,18.5
Infusion Pump,Medtronic,17,2,1,2.5
Sphygmomanometers,B. Braun Melsungen AG,26,0,2,22.7
Infusion Pump,Koninklijke Philips N.V.,22,0,1,24.6
Ventilator,B. Braun Melsungen AG,21,1,2,2.0
Sphygmomanometers,Siemens Healthineers,17,1,1,21.4
Infusion Pump,Welch Allyn Inc,23,2,2,2.0
Radiographic System,Welch Allyn Inc,22,0,2,8.7
Defibrillator,Physio-Control Inc,10,1,2,12.1
Ventilator,Omron Healthcare Co Ltd,20,1,1,5.1
Infusion Pump,Koninklijke Philips N.V.,11,0,2,31.7
Ventilator,Med-Vantage Sdn Bhd,4,0,1,38.2
Ventilator,Welch Allyn Inc,22,0,1,13.2
Sphygmomanometers,Welch Allyn Inc,8,0,2,37.7
Sphygmomanometers,Physio-Control Inc,26,2,2,2.0
Defibrillator,Drager Medical AG & Co KGaA,30,1,2,2.0
Radiographic System,Datex-Ohmeda Inc,24,1,1,2.0
Ventilator,Koninklijke Philips N.V.,8,2,1,11.1
Infusion Pump,B. Braun Melsungen AG,21,0,1,20.9
Physiologic Monitoring System,Siemens Healthineers,9,2,2,8.3
Ventilator,Welch Allyn Inc,21,0,2,13.5
Ventilator,Welch Allyn Inc,18,2,1,2.0
Defibrillator,Blease Medical Equipment Ltd,0,0,2,42.3
Radiographic System,Nihon Kohden Corp,6,2,1,8.0
Physiologic Monitoring System,Drager Medical AG & Co KGaA,3,0,1,44.0
Sphygmomanometers,Welch Allyn Inc,0,0,1,56.8
Sphygmomanometers,Datex-Ohmeda Inc,14,1,1,26.9
Infusion Pump,Nihon Kohden Corp,7,0,1,40.3
Physiologic Monitoring System,Blease Medical Equipment Ltd,11,1,2,16.4
Sphygmomanometers,GE Healthcare,21,0,1,22.2
Infusion Pump,Drager Medical AG & Co KGaA,21,1,2,10.8
Radiographic System,Siemens Healthineers,17,0,1,22.2
Infusion Pump,Medtronic,14,0,2,26.3
Sphygmomanometers,Koninklijke Philips N.V.,16,0,2,28.3
Defibrillator,Physio-Control Inc,28,1,2,2.0
Defibrillator,Siemens Healthineers,13,0,1,31.6
Defibrillator,Med-Vantage Sdn Bhd,13,0,2,30.1
Sphygmomanometers,Koninklijke Philips N.V.,17,0,2,25.9
Defibrillator,Nihon Kohden Corp,19,0,1,28.3
Physiologic Monitoring System,Omron Healthcare Co Ltd,17,1,1,17.1
Radiographic System,Physio-Control Inc,15,2,1,3.7
Infusion Pump,Baxter Healthcare Corp,0,0,2,46.8
Infusion Pump,B. Braun Melsungen AG,22,1,1,10.7
Sphygmomanometers,GE Healthcare,26,1,1,13.3
Defibrillator,Drager Medical AG & Co KGaA,10,0,1,36.0
Defibrillator,Welch Allyn Inc,14,1,1,17.2
Ventilator,Omron Healthcare Co Ltd,11,0,2,20.8
Radiographic System,Blease Medical Equipment Ltd,7,1,1,18.6
Physiologic Monitoring System,Med-Vantage Sdn Bhd,21,0,2,20.8
Infusion Pump,Omron Healthcare Co Ltd,19,1,2,12.5
Ventilator,Siemens Healthineers,29,1,1,2.0
Ventilator,GE Healthcare,5,0,2,32.0
Sphygmomanometers,Medtronic,2,0,1,47.8
Infusion Pump,Canon Inc (Toshiba Medical),27,2,2,2.0
Sphygmomanometers,Koninklijke Philips N.V.,23,0,1,25.4
Physiologic Monitoring System,Koninklijke Philips N.V.,25,1,2,2.0
Ventilator,Siemens Healthineers,29,2,1,2.0
Ventilator,Datex-Ohmeda Inc,12,1,1,16.8
Radiographic System,Datex-Ohmeda Inc,12,1,2,14.5
Physiologic Monitoring System,Welch Allyn Inc,1,1,1,39.9
Ventilator,Med-Vantage Sdn Bhd,4,2,2,10.5
Physiologic Monitoring System,Baxter Healthcare Corp,16,1,1,19.2
Infusion Pump,B. Braun Melsungen AG,5,1,2,28.4
Defibrillator,Physio-Control Inc,1,0,1,45.4
Ventilator,Medtronic,3,2,2,10.1
Radiographic System,Welch Allyn Inc,21,1,1,6.0
Infusion Pump,GE Healthcare,25,0,1,17.9
Physiologic Monitoring System,Datex-Ohmeda Inc,10,2,1,11.0
Sphygmomanometers,Baxter Healthcare Corp,7,1,2,32.0
Infusion Pump,Baxter Healthcare Corp,11,0,1,32.0
Ventilator,Med-Vantage Sdn Bhd,7,1,2,22.2
Physiologic Monitoring System,Siemens Healthineers,10,0,2,35.3
Defibrillator,Medtronic,21,2,1,2.0
Infusion Pump,Nihon Kohden Corp,19,0,2,21.4
Ventilator,Physio-Control Inc,7,2,1,9.8
Radiographic System,Med-Vantage Sdn Bhd,28,1,1,2.0
Sphygmomanometers,B. Braun Melsungen AG,7,0,2,42.9
Physiologic Monitoring System,Med-Vantage Sdn Bhd,25,2,2,2.0
Infusion Pump,Med-Vantage Sdn Bhd,29,1,2,2.0
Infusion Pump,Drager Medical AG & Co KGaA,16,0,1,29.9
Defibrillator,Siemens Healthineers,19,1,1,14.2
Defibrillator,Physio-Control Inc,19,2,1,2.0
Radiographic System,Drager Medical AG & Co KGaA,22,0,2,9.2
Sphygmomanometers,Drager Medical AG & Co KGaA,15,0,1,37.5
Radiographic System,Blease Medical Equipment Ltd,13,0,2,23.9
Ventilator,Medtronic,29,0,1,6.7
Ventilator,Blease Medical Equipment Ltd,10,1,1,18.7
Radiographic System,Medtronic,6,1,1,26.7
Sphygmomanometers,Welch Allyn Inc,15,0,1,35.5
Radiographic System,GE Healthcare,12,0,1,29.1
Sphygmomanometers,Baxter Healthcare Corp,26,0,2,19.7
Sphygmomanometers,Physio-Control Inc,14,2,2,13.1
Physiologic Monitoring System,Siemens Healthineers,23,0,1,20.8
Sphygmomanometers,Welch Allyn Inc,15,2,1,9.9
Defibrillator,Canon Inc (Toshiba Medical),26,1,1,2.0
Sphygmomanometers,Med-Vantage Sdn Bhd,20,0,2,24.2
Sphygmomanometers,Koninklijke Philips N.V.,22,2,1,2.3
Sphygmomanometers,Siemens Healthineers,23,1,2,6.4
Ventilator,GE Healthcare,30,1,1,2.0
Defibrillator,B. Braun Melsungen AG,8,2,1,16.0
Defibrillator,Omron Healthcare Co Ltd,2,0,2,40.9
Radiographic System,Omron Healthcare Co Ltd,18,0,1,19.6
Physiologic Monitoring System,Baxter Healthcare Corp,19,1,2,10.9
Sphygmomanometers,Omron Healthcare Co Ltd,4,0,1,54.4
Infusion Pump,Omron Healthcare Co Ltd,9,0,1,37.3
Physiologic Monitoring System,Koninklijke Philips N.V.,16,0,1,31.7
Physiologic Monitoring System,Datex-Ohmeda Inc,14,0,2,25.3
Defibrillator,Blease Medical Equipment Ltd,30,1,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,22,0,1,24.9
Sphygmomanometers,Blease Medical Equipment Ltd,24,1,2,3.5
Sphygmomanometers,Medtronic,7,1,1,32.9
Ventilator,Drager Medical AG & Co KGaA,14,0,1,28.8
Sphygmomanometers,Datex-Ohmeda Inc,30,0,1,17.5
Sphygmomanometers,Blease Medical Equipment Ltd,20,1,1,13.6
Defibrillator,Siemens Healthineers,29,0,1,10.2
Sphygmomanometers,Siemens Healthineers,13,1,2,22.0
Ventilator,Blease Medical Equipment Ltd,19,2,1,2.0
Infusion Pump,Med-Vantage Sdn Bhd,27,0,1,18.6
Defibrillator,Blease Medical Equipment Ltd,6,1,1,25.2
Infusion Pump,Omron Healthcare Co Ltd,20,1,2,8.5
Defibrillator,Medtronic,22,0,2,10.5
Radiographic System,GE Healthcare,11,2,1,2.0
Physiologic Monitoring System,Physio-Control Inc,16,2,1,8.2
Radiographic System,Datex-Ohmeda Inc,16,0,1,23.3
Sphygmomanometers,Datex-Ohmeda Inc,9,1,1,29.6
Infusion Pump,Blease Medical Equipment Ltd,29,2,1,2.0
Sphygmomanometers,Nihon Kohden Corp,28,2,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,18,1,1,12.3
Defibrillator,Baxter Healthcare Corp,13,1,1,20.1
Physiologic Monitoring System,B. Braun Melsungen AG,10,0,1,40.1
Ventilator,Physio-Control Inc,1,2,2,10.1
Physiologic Monitoring System,Siemens Healthineers,17,0,2,25.2
Ventilator,Blease Medical Equipment Ltd,6,1,2,26.3
Physiologic Monitoring System,Siemens Healthineers,11,0,1,40.7
Ventilator,Siemens Healthineers,25,0,1,10.4
Infusion Pump,Nihon Kohden Corp,1,0,1,51.5
Sphygmomanometers,Siemens Healthineers,26,2,2,2.0
Sphygmomanometers,Physio-Control Inc,19,0,1,26.9
Radiographic System,Welch Allyn Inc,17,1,2,4.2
Sphygmomanometers,Medtronic,5,0,2,44.9
Defibrillator,Canon Inc (Toshiba Medical),23,0,1,19.1
Physiologic Monitoring System,Baxter Healthcare Corp,9,0,2,37.4
Radiographic System,Blease Medical Equipment Ltd,19,1,1,8.0
Defibrillator,Med-Vantage Sdn Bhd,14,0,1,24.8
Defibrillator,Physio-Control Inc,4,0,1,41.6
Ventilator,Omron Healthcare Co Ltd,19,0,1,22.7
Sphygmomanometers,Welch Allyn Inc,2,0,2,48.5
Infusion Pump,Baxter Healthcare Corp,4,2,1,21.3
Infusion Pump,Physio-Control Inc,29,2,1,2.0
Radiographic System,Welch Allyn Inc,24,0,2,8.6
Infusion Pump,Siemens Healthineers,7,1,2,19.5
Physiologic Monitoring System,Med-Vantage Sdn Bhd,7,2,1,20.8
Infusion Pump,Medtronic,7,0,2,36.6
Radiographic System,Blease Medical Equipment Ltd,11,2,2,2.0
Infusion Pump,Datex-Ohmeda Inc,23,2,1,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,22,0,1,27.6
Ventilator,Drager Medical AG & Co KGaA,7,0,1,33.0
Radiographic System,Canon Inc (Toshiba Medical),10,2,2,7.4
Ventilator,Medtronic,13,1,2,15.9
Ventilator,Datex-Ohmeda Inc,7,0,2,27.6
Ventilator,GE Healthcare,28,0,1,10.6
Defibrillator,Blease Medical Equipment Ltd,29,0,1,6.8
Sphygmomanometers,Physio-Control Inc,23,1,1,11.0
Defibrillator,GE Healthcare,27,1,1,2.0
Sphygmomanometers,Datex-Ohmeda Inc,9,2,2,14.4
Ventilator,Medtronic,6,0,2,33.0
Radiographic System,Physio-Control Inc,27,1,1,2.0
Sphygmomanometers,Blease Medical Equipment Ltd,16,1,1,22.8
Physiologic Monitoring System,Omron Healthcare Co Ltd,3,0,1,47.6
Physiologic Monitoring System,Drager Medical AG & Co KGaA,28,0,1,11.0
Infusion Pump,Siemens Healthineers,12,2,1,9.3
Sphygmomanometers,Physio-Control Inc,3,2,1,30.3
Radiographic System,Omron Healthcare Co Ltd,4,1,1,25.3
Defibrillator,Blease Medical Equipment Ltd,25,1,1,2.0
Ventilator,Blease Medical Equipment Ltd,21,0,1,19.7
Infusion Pump,Physio-Control Inc,3,1,1,32.3
Physiologic Monitoring System,Medtronic,30,1,2,2.0
Defibrillator,Omron Healthcare Co Ltd,17,1,1,12.0
Defibrillator,Medtronic,5,2,2,14.9
Ventilator,Welch Allyn Inc,30,1,1,2.0
Sphygmomanometers,Datex-Ohmeda Inc,23,0,1,22.2
Physiologic Monitoring System,Koninklijke Philips N.V.,30,1,1,2.0
Radiographic System,Physio-Control Inc,23,0,1,11.0
Defibrillator,Canon Inc (Toshiba Medical),22,0,2,12.9
Ventilator,Blease Medical Equipment Ltd,21,0,1,22.1
Radiographic System,B. Braun Melsungen AG,1,0,2,40.8
Sphygmomanometers,Physio-Control Inc,30,1,2,3.6
Physiologic Monitoring System,Datex-Ohmeda Inc,22,1,1,12.1
Sphygmomanometers,Med-Vantage Sdn Bhd,10,1,1,29.9
Defibrillator,Med-Vantage Sdn Bhd,27,1,2,2.0
Radiographic System,Baxter Healthcare Corp,13,0,1,27.8
Radiographic System,Canon Inc (Toshiba Medical),29,2,2,2.0
Radiographic System,Blease Medical Equipment Ltd,4,0,1,40.7
Defibrillator,GE Healthcare,5,0,1,37.7
Defibrillator,Blease Medical Equipment Ltd,9,1,1,22.9
Sphygmomanometers,Welch Allyn Inc,7,0,1,42.0
Infusion Pump,Siemens Healthineers,13,0,2,29.9
Sphygmomanometers,Omron Healthcare Co Ltd,23,1,1,14.3
Physiologic Monitoring System,Blease Medical Equipment Ltd,2,1,2,27.8
Ventilator,Koninklijke Philips N.V.,11,0,1,27.4
Radiographic System,Drager Medical AG & Co KGaA,15,2,1,2.0
Infusion Pump,Med-Vantage Sdn Bhd,27,1,1,3.0
Ventilator,Drager Medical AG & Co KGaA,29,2,1,2.0
Infusion Pump,Drager Medical AG & Co KGaA,22,0,1,25.8
Sphygmomanometers,Medtronic,16,1,1,22.8
Defibrillator,Drager Medical AG & Co KGaA,0,2,2,18.5
Radiographic System,Siemens Healthineers,22,1,1,2.0
Sphygmomanometers,Welch Allyn Inc,30,1,1,6.7
Ventilator,GE Healthcare,30,0,2,2.6
Ventilator,Drager Medical AG & Co KGaA,9,0,2,26.6
Ventilator,Canon Inc (Toshiba Medical),24,1,1,2.0
Ventilator,Physio-Control Inc,22,0,1,16.2
Ventilator,Canon Inc (Toshiba Medical),9,2,2,2.1
Infusion Pump,Physio-Control Inc,20,0,2,18.9
Sphygmomanometers,Medtronic,23,2,1,2.0
Radiographic System,Siemens Healthineers,1,2,1,19.5
Defibrillator,GE Healthcare,8,0,2,25.1
Defibrillator,Koninklijke Philips N.V.,21,0,1,23.3
Sphygmomanometers,Datex-Ohmeda Inc,12,2,2,11.9
Sphygmomanometers,GE Healthcare,24,2,1,2.0
Defibrillator,Datex-Ohmeda Inc,15,0,2,22.1
Defibrillator,Canon Inc (Toshiba Medical),17,0,1,27.6
Infusion Pump,Baxter Healthcare Corp,18,1,1,15.0
Physiologic Monitoring System,Med-Vantage Sdn Bhd,11,1,2,19.5
Radiographic System,Datex-Ohmeda Inc,7,0,1,37.7
Ventilator,Welch Allyn Inc,16,1,1,16.9
Physiologic Monitoring System,B. Braun Melsungen AG,14,0,1,31.4
Sphygmomanometers,Welch Allyn Inc,9,0,1,44.4
Defibrillator,Blease Medical Equipment Ltd,14,0,1,26.1
Physiologic Monitoring System,Med-Vantage Sdn Bhd,14,0,2,30.1
Radiographic System,Med-Vantage Sdn Bhd,30,0,1,3.1
Sphygmomanometers,Physio-Control Inc,22,1,1,16.9
Ventilator,Siemens Healthineers,6,0,1,36.9
Ventilator,Nihon Kohden Corp,12,0,2,24.5
Radiographic System,Medtronic,16,0,2,22.3
Radiographic System,Canon Inc (Toshiba Medical),8,2,1,6.8
Defibrillator,B. Braun Melsungen AG,7,0,1,39.6
Ventilator,Datex-Ohmeda Inc,19,0,2,13.7
Sphygmomanometers,Drager Medical AG & Co KGaA,25,1,1,13.0
Physiologic Monitoring System,Siemens Healthineers,26,2,2,2.0
Sphygmomanometers,B. Braun Melsungen AG,20,0,2,23.3
Infusion Pump,Medtronic,17,1,2,5.9
Infusion Pump,Physio-Control Inc,12,1,1,21.2
Radiographic System,Canon Inc (Toshiba Medical),15,1,2,13.1
Defibrillator,Siemens Healthineers,8,0,2,30.1
Infusion Pump,Medtronic,30,1,2,2.0
Ventilator,Baxter Healthcare Corp,11,0,1,29.2
Sphygmomanometers,Baxter Healthcare Corp,11,1,1,26.6
Sphygmomanometers,Welch Allyn Inc,5,1,1,37.9
Radiographic System,Welch Allyn Inc,18,0,1,22.2
Physiologic Monitoring System,Medtronic,27,2,2,2.0
Radiographic System,B. Braun Melsungen AG,6,0,1,36.2
Physiologic Monitoring System,Welch Allyn Inc,24,2,1,2.0
Radiographic System,Canon Inc (Toshiba Medical),2,1,1,31.3
Radiographic System,Siemens Healthineers,15,0,2,22.4
Radiographic System,B. Braun Melsungen AG,17,0,2,15.3
Physiologic Monitoring System,Welch Allyn Inc,15,2,1,10.1
Physiologic Monitoring System,Koninklijke Philips N.V.,22,0,1,22.1
Radiographic System,Datex-Ohmeda Inc,6,0,1,35.8
Infusion Pump,Koninklijke Philips N.V.,3,0,2,41.7
Defibrillator,Omron Healthcare Co Ltd,26,1,2,2.0
Defibrillator,Baxter Healthcare Corp,24,1,2,2.0
Defibrillator,Physio-Control Inc,29,0,1,12.4
Physiologic Monitoring System,GE Healthcare,7,0,2,36.1
Physiologic Monitoring System,Datex-Ohmeda Inc,12,0,1,35.7
Infusion Pump,Baxter Healthcare Corp,12,0,2,28.6
Defibrillator,B. Braun Melsungen AG,16,0,1,25.6
Defibrillator,B. Braun Melsungen AG,16,1,2,7.4
Radiographic System,B. Braun Melsungen AG,4,0,1,42.0
Physiologic Monitoring System,Physio-Control Inc,5,0,2,39.0
Defibrillator,Koninklijke Philips N.V.,18,0,2,22.9
Sphygmomanometers,GE Healthcare,12,2,1,17.2
Infusion Pump,Canon Inc (Toshiba Medical),24,2,1,2.0
Sphygmomanometers,Welch Allyn Inc,27,2,2,2.0
Sphygmomanometers,B. Braun Melsungen AG,25,0,1,23.8
Infusion Pump,Nihon Kohden Corp,13,0,1,36.2
Sphygmomanometers,Omron Healthcare Co Ltd,30,0,1,18.4
Defibrillator,Datex-Ohmeda Inc,21,0,2,15.2
Physiologic Monitoring System,Siemens Healthineers,3,1,1,33.2
Infusion Pump,Welch Allyn Inc,27,1,1,5.0
Radiographic System,Nihon Kohden Corp,6,2,1,10.6
Sphygmomanometers,GE Healthcare,7,2,1,13.9
Infusion Pump,Physio-Control Inc,24,0,2,15.8
Ventilator,Canon Inc (Toshiba Medical),12,1,2,10.1
Ventilator,Canon Inc (Toshiba Medical),26,0,2,5.1
Physiologic Monitoring System,GE Healthcare,5,0,1,45.5
Defibrillator,Siemens Healthineers,30,1,2,2.0
Physiologic Monitoring System,Datex-Ohmeda Inc,5,0,1,45.8
Physiologic Monitoring System,Blease Medical Equipment Ltd,23,0,1,21.3
Physiologic Monitoring System,Siemens Healthineers,27,0,2,9.7
Physiologic Monitoring System,Canon Inc (Toshiba Medical),20,1,2,8.6
Radiographic System,Medtronic,29,1,2,2.0
Radiographic System,Datex-Ohmeda Inc,2,0,2,36.6
Infusion Pump,GE Healthcare,27,2,1,2.0
Ventilator,Canon Inc (Toshiba Medical),2,0,1,43.2
Physiologic Monitoring System,Canon Inc (Toshiba Medical),12,0,2,33.4
Infusion Pump,B. Braun Melsungen AG,21,1,1,14.1
Ventilator,GE Healthcare,1,1,1,31.0
Sphygmomanometers,Blease Medical Equipment Ltd,15,2,2,8.2
Defibrillator,GE Healthcare,21,0,2,14.5
Radiographic System,Blease Medical Equipment Ltd,28,1,1,2.0
Sphygmomanometers,Datex-Ohmeda Inc,5,1,2,30.0
Ventilator,Omron Healthcare Co Ltd,7,2,2,6.6
Sphygmomanometers,Medtronic,22,0,2,24.1
Defibrillator,Welch Allyn Inc,7,1,1,25.4
Ventilator,GE Healthcare,29,1,1,2.0
Sphygmomanometers,Nihon Kohden Corp,24,0,1,27.4
Radiographic System,Baxter Healthcare Corp,5,1,1,21.4
Radiographic System,Drager Medical AG & Co KGaA,13,0,1,25.4
Infusion Pump,Drager Medical AG & Co KGaA,2,1,1,38.1
Sphygmomanometers,GE Healthcare,9,2,1,22.7
Physiologic Monitoring System,Blease Medical Equipment Ltd,2,1,2,33.1
Sphygmomanometers,Nihon Kohden Corp,26,1,1,9.3
Ventilator,Omron Healthcare Co Ltd,11,1,2,12.5
Ventilator,B. Braun Melsungen AG,16,0,2,20.6
Sphygmomanometers,Blease Medical Equipment Ltd,26,0,1,21.5
Defibrillator,Physio-Control Inc,30,1,2,2.0
Radiographic System,Physio-Control Inc,28,0,2,2.0
Ventilator,Datex-Ohmeda Inc,30,0,1,3.8
Radiographic System,Drager Medical AG & Co KGaA,4,1,2,21.3
Ventilator,GE Healthcare,29,0,1,7.7
Infusion Pump,Physio-Control Inc,19,0,2,25.4
Physiologic Monitoring System,GE Healthcare,24,1,1,6.8
Ventilator,Datex-Ohmeda Inc,30,0,2,2.0
Radiographic System,Drager Medical AG & Co KGaA,8,2,1,11.7
Infusion Pump,Siemens Healthineers,30,2,2,2.0
Ventilator,Omron Healthcare Co Ltd,29,1,1,2.0
Defibrillator,Baxter Healthcare Corp,20,0,2,15.4
Physiologic Monitoring System,Baxter Healthcare Corp,25,1,2,2.0
Ventilator,Physio-Control Inc,19,2,1,2.0
Infusion Pump,Baxter Healthcare Corp,6,1,2,23.4
Defibrillator,Canon Inc (Toshiba Medical),30,0,1,8.3
Sphygmomanometers,Omron Healthcare Co Ltd,21,1,2,9.7
Infusion Pump,Blease Medical Equipment Ltd,3,2,1,23.7
Infusion Pump,Siemens Healthineers,12,1,2,17.4
Defibrillator,Omron Healthcare Co Ltd,12,1,2,12.1
Infusion Pump,Canon Inc (Toshiba Medical),30,1,1,2.0
Defibrillator,Med-Vantage Sdn Bhd,9,1,1,29.1
Ventilator,Blease Medical Equipment Ltd,17,0,1,22.1
Defibrillator,Canon Inc (Toshiba Medical),16,1,2,9.0
Defibrillator,GE Healthcare,19,0,1,24.4
Physiologic Monitoring System,Datex-Ohmeda Inc,19,0,1,25.9
Defibrillator,Welch Allyn Inc,12,0,2,29.6
Defibrillator,Siemens Healthineers,16,1,1,9.8
Sphygmomanometers,Welch Allyn Inc,21,0,2,21.7
Ventilator,Datex-Ohmeda Inc,3,1,1,27.8
Physiologic Monitoring System,Datex-Ohmeda Inc,0,1,1,39.9
Sphygmomanometers,Canon Inc (Toshiba Medical),0,0,2,45.1
Radiographic System,Drager Medical AG & Co KGaA,14,0,1,29.2
Ventilator,Canon Inc (Toshiba Medical),12,0,1,30.4
Ventilator,Welch Allyn Inc,16,2,2,2.0
Radiographic System,Canon Inc (Toshiba Medical),23,1,1,5.6
Defibrillator,GE Healthcare,25,1,2,2.0
Sphygmomanometers,Canon Inc (Toshiba Medical),7,0,2,34.7
Infusion Pump,Nihon Kohden Corp,17,1,1,19.3
Physiologic Monitoring System,Baxter Healthcare Corp,26,2,1,2.0
Infusion Pump,Welch Allyn Inc,12,2,2,2.6
Radiographic System,Nihon Kohden Corp,22,1,1,4.3
Ventilator,Drager Medical AG & Co KGaA,13,0,1,34.3
Ventilator,Datex-Ohmeda Inc,7,0,2,30.6
Physiologic Monitoring System,Physio-Control Inc,7,0,1,45.3
Ventilator,Omron Healthcare Co Ltd,26,0,2,3.7
Ventilator,Blease Medical Equipment Ltd,25,0,1,8.3
Physiologic Monitoring System,Baxter Healthcare Corp,14,0,1,36.1
Sphygmomanometers,Blease Medical Equipment Ltd,26,0,1,22.6
Sphygmomanometers,Canon Inc (Toshiba Medical),12,2,2,8.2
Physiologic Monitoring System,Med-Vantage Sdn Bhd,6,1,2,31.0
Radiographic System,Baxter Healthcare Corp,4,2,2,4.4
Ventilator,GE Healthcare,16,1,1,8.6
Ventilator,Med-Vantage Sdn Bhd,27,0,1,8.5
Radiographic System,Medtronic,24,1,1,2.0
Sphygmomanometers,Koninklijke Philips N.V.,28,0,1,22.3
Defibrillator,Koninklijke Philips N.V.,15,1,2,10.1
Defibrillator,Koninklijke Philips N.V.,22,0,2,12.9
Defibrillator,Medtronic,1,2,1,17.5
Sphygmomanometers,Blease Medical Equipment Ltd,21,0,2,25.4
Sphygmomanometers,GE Healthcare,17,0,1,30.1
Radiographic System,Med-Vantage Sdn Bhd,30,2,2,2.0
Ventilator,Medtronic,16,0,1,23.2
Radiographic System,Koninklijke Philips N.V.,29,1,1,2.0
Radiographic System,Drager Medical AG & Co KGaA,6,1,1,21.9
Sphygmomanometers,Siemens Healthineers,12,2,1,16.2
Defibrillator,Med-Vantage Sdn Bhd,17,2,2,2.0
Infusion Pump,Welch Allyn Inc,28,2,1,2.0
Ventilator,Datex-Ohmeda Inc,13,0,1,29.4
Sphygmomanometers,Medtronic,29,2,2,2.0
Defibrillator,GE Healthcare,17,1,2,6.3
Infusion Pump,GE Healthcare,12,1,2,20.0
Infusion Pump,Welch Allyn Inc,10,0,1,33.5
Sphygmomanometers,Nihon Kohden Corp,20,1,2,18.7
Physiologic Monitoring System,Siemens Healthineers,29,2,2,2.0
Ventilator,Med-Vantage Sdn Bhd,20,2,1,2.0
Infusion Pump,Physio-Control Inc,15,0,1,30.9
Sphygmomanometers,Baxter Healthcare Corp,22,0,1,25.8
Sphygmomanometers,Koninklijke Philips N.V.,16,0,1,38.8
Defibrillator,Med-Vantage Sdn Bhd,7,2,1,15.1
Physiologic Monitoring System,Canon Inc (Toshiba Medical),18,1,1,15.0
Ventilator,Physio-Control Inc,19,1,2,2.0
Radiographic System,Nihon Kohden Corp,14,0,2,23.8
Defibrillator,Koninklijke Philips N.V.,8,0,2,33.7
Infusion Pump,Siemens Healthineers,19,1,2,10.6
Infusion Pump,Omron Healthcare Co Ltd,9,2,1,14.1
Defibrillator,Canon Inc (Toshiba Medical),11,1,2,14.5
Sphygmomanometers,Nihon Kohden Corp,30,0,2,15.2
Infusion Pump,Blease Medical Equipment Ltd,20,1,1,16.9
Physiologic Monitoring System,Koninklijke Philips N.V.,22,0,2,20.0
Ventilator,Siemens Healthineers,19,2,2,2.0
Physiologic Monitoring System,B. Braun Melsungen AG,29,0,1,14.9
Infusion Pump,Physio-Control Inc,0,1,2,30.1
Radiographic System,Physio-Control Inc,24,0,1,10.4
Ventilator,Baxter Healthcare Corp,19,1,1,10.7
Ventilator,Welch Allyn Inc,8,1,1,25.3
Defibrillator,Siemens Healthineers,21,1,2,4.8
Defibrillator,Medtronic,14,0,2,24.7
Radiographic System,B. Braun Melsungen AG,0,0,2,41.7
Sphygmomanometers,Omron Healthcare Co Ltd,11,0,1,40.6
Ventilator,Drager Medical AG & Co KGaA,2,1,1,31.5
Radiographic System,Koninklijke Philips N.V.,10,0,2,25.5
Defibrillator,Canon Inc (Toshiba Medical),1,1,2,25.6
Defibrillator,B. Braun Melsungen AG,15,2,1,4.7
Ventilator,Siemens Healthineers,8,2,1,12.8
Physiologic Monitoring System,Blease Medical Equipment Ltd,14,0,2,35.0
Infusion Pump,Datex-Ohmeda Inc,11,1,2,19.9
Defibrillator,Koninklijke Philips N.V.,0,0,1,44.4
Sphygmomanometers,GE Healthcare,12,1,1,26.1
Sphygmomanometers,Physio-Control Inc,13,2,2,7.8
Defibrillator,Blease Medical Equipment Ltd,24,0,2,11.2
Physiologic Monitoring System,Welch Allyn Inc,24,0,1,22.0
Physiologic Monitoring System,Siemens Healthineers,7,2,1,18.8
Radiographic System,Omron Healthcare Co Ltd,7,2,2,6.8
Sphygmomanometers,GE Healthcare,26,0,1,21.7
Radiographic System,Baxter Healthcare Corp,29,1,1,2.0
Sphygmomanometers,Canon Inc (Toshiba Medical),11,0,1,41.3
Infusion Pump,Med-Vantage Sdn Bhd,0,0,1,51.2
Infusion Pump,Nihon Kohden Corp,10,2,2,9.4
Ventilator,Drager Medical AG & Co KGaA,7,2,1,10.0
Radiographic System,Drager Medical AG & Co KGaA,9,1,2,15.4
Defibrillator,Blease Medical Equipment Ltd,29,0,1,10.7
Radiographic System,GE Healthcare,18,2,1,2.0
Defibrillator,Med-Vantage Sdn Bhd,10,0,1,35.7
Physiologic Monitoring System,Med-Vantage Sdn Bhd,6,0,2,39.4
Radiographic System,Physio-Control Inc,10,1,2,13.9
Physiologic Monitoring System,Baxter Healthcare Corp,30,0,1,5.7
Infusion Pump,Datex-Ohmeda Inc,16,1,2,9.8
